Ticker,Predicted Close,Real Close,Yesterday's Close,Real Increase,Predicted Increase,Real Percentage Increase,Predicted Percentage Increase,Real Minus Predicted Percentage
ETFC,45.09388,51.55,52.28,-0.730000000000004,-7.1861200000000025,-0.013963274674827926,-0.1374544758990054,0.12349120122417746
EMN,91.183205,98.98,99.02,-0.03999999999999204,-7.836794999999995,-0.00040395879620270695,-0.07914355685720052,0.07873959806099781
ETN,76.00754,81.62,82.68,-1.0600000000000023,-6.672460000000001,-0.012820512820512846,-0.08070222544750848,0.06788171262699563
EBAY,35.962147,42.33,42.79,-0.46000000000000085,-6.8278529999999975,-0.01075017527459689,-0.15956655760691746,0.14881638233232056
ECL,133.16278,133.12,131.74,1.3799999999999955,1.4227799999999888,0.010475178381660812,0.010799908911492248,-0.0003247305298314362
EIX,81.548096,59.69,60.36,-0.6700000000000017,21.188096,-0.011100066269052382,0.351028760768721,-0.3621288270377734
EW,109.494545,129.7,127.08,2.6199999999999903,-17.585454999999996,0.02061693421466785,-0.138380980484734,0.15899791469940183
EA,108.11778,123.05,123.13,-0.0799999999999983,-15.01222,-0.0006497198083326427,-0.12192170876309591,0.12127198895476327
EMR,61.704388,68.96,69.25,-0.29000000000000625,-7.545611999999998,-0.004187725631769043,-0.1089619061371841,0.10477418050541505
ETR,86.292656,72.77,73.76,-0.9900000000000091,12.532655999999989,-0.01342190889370945,0.16991127982646403,-0.18333318872017348
EOG,101.81304,105.78,108.27,-2.489999999999995,-6.456959999999995,-0.02299806040454415,-0.05963757273482955,0.0366395123302854
EFX,110.108055,117.6,118.41,-0.8100000000000023,-8.301945000000003,-0.006840638459589581,-0.07011185710666332,0.06327121864707373
EQIX,474.92044,426.08,430.85,-4.770000000000039,44.07043999999996,-0.011071138447255515,0.1022871997214807,-0.11335833816873622
EQR,69.18171,56.86,57.71,-0.8500000000000014,11.471709999999995,-0.0147288164962745,0.19878201351585503,-0.21351083001212953
ESS,251.27242,217.81,218.82,-1.009999999999991,32.45242000000002,-0.0046156658440727125,0.14830646193218178,-0.1529221277762545
EL,126.29867,134.71,137.22,-2.509999999999991,-10.921329999999998,-0.018291794199096274,-0.07958992858183936,0.061298134382743084
RE,218.13612,246.7,242.32,4.3799999999999955,-24.183879999999988,0.018075272367117843,-0.09980141961043244,0.11787669197755028
ES,nan,56.89,57.54,-0.6499999999999986,nan,-0.011296489398679155,nan,nan
EXC,42.563057,36.15,36.47,-0.3200000000000003,6.093057000000002,-0.00877433506992049,0.16707038661913906,-0.17584472168905954
EXPE,127.42693,129.33,127.28,2.0500000000000114,0.14692999999999756,0.016106222501571427,0.0011543840351979696,0.014951838466373457
EXPD,60.02783,62.13,61.87,0.2600000000000051,-1.8421699999999959,0.004202359786649509,-0.029774850492969063,0.03397721027961857
EXR,88.240715,80.42,79.73,0.6899999999999977,8.51071499999999,0.008654207951837422,0.10674419917220607,-0.09808999122036864
XOM,81.68245,76.94,78.35,-1.4099999999999966,3.3324500000000086,-0.017996171027440926,0.04253286534779845,-0.060529036375239376
FFIV,123.31632,141.39,139.73,1.6599999999999966,-16.413679999999985,0.011880054390610439,-0.11746711515064757,0.12934716954125802
FB,183.12457,180.18,185.31,-5.1299999999999955,-2.1854299999999967,-0.027683341427877584,-0.011793373266418416,-0.01588996816145917
FAST,49.068394,53.24,53.02,0.21999999999999886,-3.9516060000000053,0.004149377593360974,-0.07453047906450405,0.07867985665786503
FRT,132.80865,111.34,112.22,-0.8799999999999955,20.58865,-0.007841739440384918,0.1834668508287293,-0.1913085902691142
FDX,217.09596,251.15,250.18,0.9699999999999989,-33.084040000000016,0.003877208409944835,-0.13224094651850674,0.13611815492845158
FIS,92.22605,96.77,95.72,1.0499999999999972,-3.493949999999998,0.01096949435854573,-0.03650177601337232,0.04747127037191805
FITB,28.372887,32.34,32.02,0.3200000000000003,-3.6471130000000045,0.009993753903810127,-0.11390109306683335,0.12389484697064349
FE,34.923573,30.81,30.89,-0.08000000000000185,4.033572999999997,-0.002589834898025311,0.13057860148915496,-0.13316843638718026
FISV,128.28519,129.17,130.75,-1.5800000000000125,-2.46481,-0.012084130019120554,-0.018851319311663478,0.006767189292542924
FLIR,47.259403,48.4,48.41,-0.00999999999999801,-1.1505969999999976,-0.00020656889072501574,-0.02376775459615777,0.023561185705432756
FLS,39.21652,41.55,41.83,-0.28000000000000114,-2.6134799999999956,-0.0066937604590007445,-0.06247860387281845,0.0557848434138177
FMC,95.36368,83.97,84.99,-1.019999999999996,10.373680000000007,-0.012001411930815343,0.12205765384162852,-0.13405906577244386
F,12.691088,10.76,10.76,0.0,1.9310880000000008,0.0,0.17946914498141273,-0.17946914498141273
FTV,72.49396,71.69,72.11,-0.4200000000000017,0.38396000000000186,-0.005824434891138562,0.005324642906670391,-0.011149077797808953
FBHS,64.97471,63.4,64.16,-0.759999999999998,0.8147100000000052,-0.011845386533665805,0.01269809850374073,-0.024543485037406533
FOXA,30.485785,36.06,36.8,-0.7399999999999949,-6.314214999999997,-0.020108695652173776,-0.171581929347826,0.15147323369565224
FOX,29.801868,35.7,36.42,-0.7199999999999989,-6.618132000000003,-0.01976935749588135,-0.18171696869851736,0.161947611202636
BEN,41.670895,39.44,39.72,-0.28000000000000114,1.9508950000000027,-0.007049345417925507,0.049116188318227665,-0.05616553373615317
FCX,14.3789015,17.86,18.74,-0.879999999999999,-4.361098499999999,-0.04695837780149408,-0.2327160352187833,0.18575765741728922
GPS,29.762726,32.62,32.16,0.46000000000000085,-2.397273999999996,0.014303482587064705,-0.07454210199004963,0.08884558457711433
GRMN,62.36868,63.08,62.31,0.769999999999996,0.0586799999999954,0.012357567003691157,0.0009417428984110961,0.01141582410528006
IT,116.52057,119.45,124.02,-4.569999999999993,-7.49942999999999,-0.03684889533946133,-0.06046952104499266,0.023620625705531334
GD,200.16866,214.95,212.46,2.4899999999999807,-12.29134000000002,0.011719853148827923,-0.05785248988044817,0.06957234302927609
GE,18.982716,15.25,15.27,-0.019999999999999574,3.7127160000000003,-0.0013097576948264292,0.24313791748526525,-0.2444476751800917
GIS,53.83298,54.65,55.78,-1.1300000000000026,-1.947020000000002,-0.02025815704553608,-0.03490534241663682,0.01464718537110074
GM,45.343094,42.39,41.86,0.5300000000000011,3.4830940000000012,0.012661251791686602,0.08320817009077881,-0.07054691829909221
GPC,86.919914,99.27,100.06,-0.7900000000000063,-13.140085999999997,-0.007895262842294686,-0.13132206675994398,0.12342680391764929
GILD,72.5595,82.76,80.38,2.3800000000000097,-7.820499999999996,0.02960935556108497,-0.09729410301069913,0.1269034585717841
GPN,103.76811,106.32,106.01,0.30999999999998806,-2.241890000000012,0.0029242524290160176,-0.02114791057447422,0.024072163003490236
GS,236.04414,257.1,258.7,-1.599999999999966,-22.65585999999999,-0.00618477000386535,-0.08757580208735984,0.08139103208349449
GWW,200.2168,259.89,259.01,0.8799999999999955,-58.793199999999985,0.0033975522180610613,-0.22699200803057792,0.230389560248639
HRB,25.92356,25.74,25.17,0.5699999999999967,0.7535599999999967,0.022646007151370547,0.029938816050854057,-0.00729280889948351
HAL,41.653862,49.69,50.63,-0.9400000000000048,-8.976138000000006,-0.018566067548884155,-0.17728891961287785,0.1587228520639937
HBI,20.187084,21.96,21.63,0.33000000000000185,-1.4429160000000003,0.01525658807212214,-0.0667090152565881,0.08196560332871024
HIG,56.099144,55.86,55.13,0.7299999999999969,0.969144,0.013241429348811841,0.01757924904770542,-0.00433781969889358
HAS,95.21721,102.22,93.93,8.289999999999992,1.2872099999999875,0.0882572128180559,0.01370392845736173,0.07455328436069417
HCA,77.38016,98.4,98.71,-0.30999999999998806,-21.32983999999999,-0.0031405126127037595,-0.21608590821598614,0.21294539560328238
HSIC,70.33502,72.97,73.53,-0.5600000000000023,-3.194980000000001,-0.007615939072487451,-0.0434513803889569,0.03583544131646945
HES,44.510612,44.11,45.96,-1.8500000000000014,-1.449387999999999,-0.040252393385552684,-0.03153585726718884,-0.008716536118363843
HPE,13.434844,15.56,15.73,-0.16999999999999993,-2.2951560000000004,-0.010807374443738076,-0.145909472345836,0.13510209790209793
HLT,75.844635,82.02,80.69,1.3299999999999983,-4.845365000000001,0.016482835543437827,-0.06004913867889455,0.07653197422233238
HOLX,41.124184,40.45,40.39,0.060000000000002274,0.7341839999999991,0.001485516216885424,0.01817737063629609,-0.016691854419410665
HD,172.47935,191.29,191.04,0.25,-18.56064999999998,0.0013086264656616416,-0.0971558312395309,0.09846445770519253
HON,149.91812,151.19,151.4,-0.21000000000000796,-1.481880000000018,-0.001387054161162536,-0.009787846763540409,0.008400792602377874
HRL,34.884384,32.74,32.74,0.0,2.144383999999995,0.0,0.06549737324373839,-0.06549737324373839
HST,20.024986,19.45,19.42,0.029999999999997584,0.6049859999999967,0.0015447991761069816,0.031152729145210948,-0.029607929969103965
HPQ,21.331738,21.21,21.43,-0.21999999999999886,-0.0982619999999983,-0.010265982267848757,-0.004585254316378829,-0.005680727951469928
HUM,240.64838,264.9,269.12,-4.220000000000027,-28.47162,-0.0156807372175982,-0.10579525862068966,0.09011452140309145
HBAN,13.604713,15.64,15.53,0.11000000000000121,-1.925286999999999,0.007083065035415404,-0.12397211848036054,0.13105518351577594
HII,234.9433,234.82,227.67,7.150000000000006,7.273300000000006,0.03140510387842055,0.03194667720824002,-0.0005415733298194739
IDXX,154.87843,176.83,180.05,-3.219999999999999,-25.171570000000003,-0.0178839211330186,-0.13980322132740905,0.12191930019439046
INFO,43.896038,45.17,45.79,-0.6199999999999974,-1.893962000000002,-0.013540074252020036,-0.041361913081458875,0.02782183882943884
