date,1. open,2. high,3. low,4. close,5. volume
2018-10-09,94.71,95.26,93.8,94.57,3626000.0
2018-10-08,94.07,95.37,93.75,94.81,3305500.0
2018-10-05,94.1,95.27,92.91,94.38,4190200.0
2018-10-04,95.81,95.81,93.26,93.84,4425400.0
2018-10-03,94.64,96.6,94.6,96.01,4797200.0
2018-10-02,95.34,95.35,93.47,94.23,6792200.0
2018-10-01,94.74,95.64,94.33,95.0,3763800.0
2018-09-28,94.0,95.16,93.84,94.58,4527900.0
2018-09-27,94.35,94.89,93.96,94.14,3028600.0
2018-09-26,94.29,95.11,93.85,94.18,4656200.0
2018-09-25,93.48,94.64,93.4,93.78,5303900.0
2018-09-24,92.3,93.98,91.95,93.42,5910300.0
2018-09-21,92.85,93.33,92.05,92.26,9953900.0
2018-09-20,91.43,93.12,90.62,92.68,5991200.0
2018-09-19,91.71,92.24,90.4,91.02,8451400.0
2018-09-18,95.35,96.06,92.41,92.61,10240500.0
2018-09-17,95.4,96.16,94.8,95.37,3987200.0
2018-09-14,96.29,96.4,94.92,95.68,3446000.0
2018-09-13,93.42,96.37,93.41,96.33,4850700.0
2018-09-12,92.39,93.94,92.04,93.24,3304700.0
2018-09-11,93.72,93.73,92.88,93.18,2638800.0
2018-09-10,94.98,95.17,93.7,93.82,3156800.0
2018-09-07,93.65,94.35,91.6,94.17,4051700.0
2018-09-06,94.79,95.08,92.79,93.74,5416300.0
2018-09-05,94.34,95.25,94.09,95.19,5188800.0
2018-09-04,95.97,95.97,94.08,94.56,4456100.0
2018-08-31,96.25,96.69,95.72,95.98,4703100.0
2018-08-30,97.5,97.73,96.56,96.79,3434400.0
2018-08-29,97.43,97.83,96.03,97.58,3637100.0
2018-08-28,97.79,98.7,97.1,97.26,3515400.0
2018-08-27,98.11,98.3,97.3,98.02,2456100.0
2018-08-24,97.14,97.59,96.55,97.4,2996100.0
2018-08-23,97.69,97.85,96.89,97.15,2137500.0
2018-08-22,97.84,98.32,97.13,97.64,2963300.0
2018-08-21,97.86,98.05,96.8,97.74,3528800.0
2018-08-20,99.33,100.23,97.47,97.63,6172500.0
2018-08-17,98.22,99.15,96.42,98.81,6307300.0
2018-08-16,97.84,98.65,97.06,98.22,6333300.0
2018-08-15,95.92,97.79,95.61,97.45,6861500.0
2018-08-14,96.72,97.35,95.74,95.92,5580800.0
2018-08-13,96.0,97.58,95.81,96.78,5920000.0
2018-08-10,95.35,96.74,95.31,95.8,4446800.0
2018-08-09,94.2,96.14,93.47,95.47,6176100.0
2018-08-08,93.52,94.08,92.87,93.73,4535400.0
2018-08-07,97.3,98.35,93.74,94.06,8890900.0
2018-08-06,96.26,97.55,95.74,97.06,5134200.0
2018-08-03,94.89,96.85,94.82,96.53,4876100.0
2018-08-02,93.58,95.86,93.41,95.12,6023400.0
2018-08-01,92.29,94.48,92.28,93.91,5330400.0
2018-07-31,91.65,92.63,91.33,92.23,8691800.0
2018-07-30,90.67,91.54,89.38,91.45,6466300.0
2018-07-27,91.34,92.27,88.77,90.56,12906000.0
2018-07-26,93.95,94.56,92.54,93.94,6812400.0
2018-07-25,91.08,93.51,91.08,93.12,7475700.0
2018-07-24,90.51,91.61,89.75,91.54,7965200.0
2018-07-23,89.17,89.99,88.64,89.4,6316800.0
2018-07-20,88.71,89.64,86.76,88.91,11793600.0
2018-07-19,93.22,93.28,87.76,89.95,19747200.0
2018-07-18,95.27,95.43,94.33,94.4,5521900.0
2018-07-17,96.27,97.17,95.33,95.41,5107500.0
2018-07-16,96.76,96.82,95.26,96.25,3783800.0
2018-07-13,94.96,96.86,94.94,96.63,3712400.0
2018-07-12,94.92,95.67,94.1,95.61,4672000.0
2018-07-11,96.26,97.5,94.87,94.96,6230000.0
2018-07-10,97.11,98.95,96.68,98.84,5119900.0
2018-07-09,97.98,98.35,96.92,97.04,5953100.0
